,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN,bedroom_ratio,household_rooms
6678,-118.1,34.15,14.0,7.274479558773871,5.91350300563827,6.663132695990803,5.840641657373398,2.7431,177500.0,False,True,False,False,False,0.8129108010903536,1.24549321555969
7268,-118.22,33.98,27.0,6.999422467507961,5.831882477283517,7.170888478512505,5.765191102784844,2.6548,123200.0,True,False,False,False,False,0.8331948106226928,1.2140833396011674
7677,-118.09,33.92,33.0,6.779921907472252,5.204006687076795,6.306275286948016,5.135798437050262,5.3146,168600.0,True,False,False,False,False,0.7675614495413853,1.320130061678645
17118,-122.14,37.5,46.0,3.4339872044851463,1.6094379124341003,2.6390573296152584,1.791759469228055,15.0001,500001.0,False,False,False,True,False,0.4686790650623293,1.916544750264171
16177,-122.38,37.71,47.0,6.9930151229329605,5.25227342804663,6.326149473155099,5.117993812416755,4.2708,207100.0,False,False,False,True,False,0.7510742270272338,1.3663586513073187
2638,-124.14,40.59,22.0,7.418180822726788,6.0063531596017325,6.717804695023691,5.948034989180646,1.5625,66800.0,False,False,False,False,True,0.8096800688924036,1.24716496056602
19879,-119.28,36.35,7.0,8.188411308079031,6.553933404025811,7.640603826393634,6.520621127558696,3.1111,72400.0,False,True,False,False,False,0.8003913283593149,1.2557716738780607
16810,-122.41,37.65,32.0,8.142354276849835,6.767343125265392,7.857093864902493,6.706862336602747,3.5039,232400.0,False,False,False,False,True,0.8311285526479922,1.214033309199278
9220,-120.27,37.12,17.0,8.110427237575024,6.444131256700441,7.365812837209472,6.429719478039138,2.9861,81500.0,False,True,False,False,False,0.7945489267008334,1.2613967475993912
6135,-117.99,34.07,35.0,7.427738840532894,5.8888779583328805,7.407924322559599,5.924255797414532,2.4911,145900.0,False,True,False,False,False,0.7928224301852798,1.2537842886147004
10467,-117.73,33.53,3.0,8.762333040602343,6.825460036255307,7.6638772587034705,6.709304340258298,7.8915,420600.0,True,False,False,False,False,0.778954646511143,1.3059972534000457
9602,-120.48,37.3,39.0,6.923628628138427,5.877735781779639,6.775366090936392,5.749392985908253,1.5,67000.0,False,True,False,False,False,0.8489386270505384,1.2042364550672084
9843,-121.9,36.6,45.0,7.718685495198466,6.023447592961033,6.851184927493743,6.063785208687608,3.0625,260300.0,False,False,False,False,True,0.7803722015501237,1.2729153869335406
17369,-120.43,34.93,10.0,8.000014093678072,6.373319789577012,7.374001859350161,6.333279628139691,3.285,218300.0,True,False,False,False,False,0.7966635702071403,1.2631708314492913
14162,-117.05,32.77,23.0,7.846589975291186,6.4967749901858625,7.0909098220799835,6.3080984415095305,1.8899,147700.0,False,False,False,False,True,0.8279743188626048,1.2438914909218655
13937,-117.27,34.24,34.0,8.212839584676484,6.6293632534374485,6.848005274576363,5.908082938168931,2.875,117600.0,False,True,False,False,False,0.8071950249468545,1.390102283706575
18378,-121.87,37.22,17.0,7.946617563244473,5.902633333401366,6.959398512133975,5.846438775057725,8.0595,485000.0,True,False,False,False,False,0.7427856300399862,1.359223600723675
17102,-122.22,37.46,37.0,7.8582541821860294,6.206575926724928,7.097548850614793,6.220590170099739,4.3214,342700.0,False,False,False,False,True,0.7898161325443874,1.263265054810713
16673,-120.81,35.19,14.0,8.13593277200489,6.688354713946762,7.1204443723924875,6.450470422144176,3.7635,336200.0,False,False,False,False,True,0.822075956301024,1.261292935174867
15436,-117.22,33.21,19.0,8.38958706681109,6.720220155135295,7.550661243105336,6.601230118728877,3.6375,198800.0,True,False,False,False,False,0.8010191802788779,1.2709126808060098
2770,-115.91,33.36,15.0,6.131226489483141,4.564348191467836,5.081404364984463,4.30406509320417,0.922,67500.0,False,True,False,False,False,0.7444429265982977,1.424519926328237
3984,-118.64,34.19,30.0,7.783224016336037,5.924255797414532,6.968850378341948,5.934894195619588,6.0094,245600.0,True,False,False,False,False,0.7611570455867958,1.311434333923031
16324,-121.33,37.98,9.0,7.771067086065406,6.052089168924417,7.029972911706386,5.958424693029782,5.143,176500.0,False,True,False,False,False,0.7787976994532253,1.3042150377693065
12191,-117.38,33.67,9.0,9.494691904331507,7.911690520708339,8.886823846515187,7.762596048540069,3.375,131800.0,True,False,False,False,False,0.8332751183952585,1.2231335812092397
8985,-118.44,33.98,21.0,9.805488761654026,8.597851094433691,8.913550280493675,8.503297086224126,5.3359,500001.0,True,False,False,False,False,0.8768406454206547,1.1531396189296421
18472,-121.63,37.12,17.0,7.5126175446745105,5.988961416889864,7.01301578963963,5.963579343618446,2.4821,248200.0,True,False,False,False,False,0.7971870498233036,1.259749742864354
6813,-118.07,34.1,28.0,6.517671272912275,5.181783550292085,6.298949246855942,5.225746673713202,3.2361,187500.0,True,False,False,False,False,0.7950360386888186,1.2472229673316875
12810,-121.47,38.61,35.0,7.224753405767971,5.8888779583328805,6.7464121285733745,5.796057750765372,1.6331,67500.0,False,True,False,False,False,0.8150974334475447,1.2464943788411942
11627,-118.07,33.81,22.0,7.905441649060286,5.8664680569332965,7.174724309836376,5.910796644040527,8.5407,398800.0,True,False,False,False,False,0.7420797366369327,1.3374578969876811
13726,-117.18,34.06,52.0,6.86171134048073,5.455321115357702,6.280395838960195,5.480638923341991,1.3021,100000.0,False,True,False,False,False,0.7950379788164482,1.2519911339637364
6601,-118.15,34.18,42.0,7.3277805384216315,5.771441123130016,7.020190708311925,5.7430031878094825,3.3125,154900.0,True,False,False,False,False,0.7876110771697805,1.2759492374958303
15996,-122.46,37.75,52.0,7.0967213784947605,5.030437921392435,6.144185634125646,5.093750200806762,10.7569,500001.0,False,False,False,True,False,0.7088397096490505,1.393221319995386
17714,-121.79,37.34,20.0,7.610357618312838,5.796057750765372,7.087573705557973,5.780743515792329,4.9318,262400.0,True,False,False,False,False,0.7616012336684799,1.3165015187963647
4422,-118.25,34.07,47.0,7.630461261783627,6.428105272684596,7.617759576608505,6.300785794663244,1.9028,217900.0,True,False,False,False,False,0.8424268274421487,1.2110332759203806
16265,-121.27,37.96,41.0,6.135564891081739,4.624972813284271,5.948034989180646,4.382026634673881,1.275,54000.0,False,True,False,False,False,0.753797391990236,1.400166042472802
10674,-117.86,33.63,17.0,8.037866234709618,6.313548046277095,7.069874128458572,6.282266746896006,5.3099,500001.0,True,False,False,False,False,0.7854756302130951,1.2794531907899378
17145,-122.18,37.44,44.0,7.71333788887187,5.8522024797744745,6.855408798609928,5.849324779946859,8.2436,500001.0,False,False,False,False,True,0.7587120600819939,1.318671501250089
3589,-118.45,34.25,34.0,7.647308832356238,5.942799375126701,7.0967213784947605,5.942799375126701,5.2801,212300.0,True,False,False,False,False,0.777109896488337,1.2868192832427894
6136,-117.99,34.08,35.0,6.940222469119639,5.337538079701318,6.86171134048073,5.2574953720277815,2.8906,134800.0,False,True,False,False,False,0.7690730525499105,1.320062497067466
5514,-118.4,33.99,39.0,7.3864708488298945,5.942799375126701,7.01571242048723,5.877735781779639,2.825,276700.0,True,False,False,False,False,0.8045519297037653,1.25668643897318
10748,-117.88,33.64,16.0,8.193123721512068,6.3473892096560105,7.098375638590786,6.327936783729195,8.5574,392200.0,True,False,False,False,False,0.7747215134796694,1.2947543569933828
519,-122.25,37.82,52.0,7.813995675002791,6.0014148779611505,7.007600613951853,5.988961416889864,5.883,340700.0,False,False,False,True,False,0.7680340670215443,1.304733013134135
15825,-122.42,37.75,52.0,7.655864017616056,6.270988431858299,7.113142108707088,6.2422232654551655,3.5536,400000.0,False,False,False,True,False,0.8191091714049291,1.2264643047909007
2009,-119.82,36.72,25.0,7.856319571406588,6.270988431858299,7.404279118037268,6.234410725718371,1.6435,52600.0,False,True,False,False,False,0.7982094382567928,1.2601543140232119
19377,-120.76,37.73,16.0,7.203405521083095,5.488937726156687,6.597145701886651,5.278114659230517,3.5833,187500.0,False,True,False,False,False,0.7619920480794169,1.3647686695258836
15655,-122.41,37.79,52.0,7.270312886079025,6.6052979209482015,7.4318919168078,6.4967749901858625,1.5156,237500.0,False,False,False,True,False,0.9085300762771608,1.119064904827654
963,-121.91,37.69,18.0,7.964503363551548,6.049733455231958,7.241366283322318,6.059123195581797,6.3132,259200.0,True,False,False,False,False,0.7595870299857904,1.3144646686436612
16292,-121.24,37.96,37.0,7.069874128458572,5.564520407322694,6.858565034791365,5.5909869805108565,2.875,57700.0,False,True,False,False,False,0.7870748907570597,1.2645127153940516
11394,-117.96,33.74,19.0,7.486613313139955,6.030685260261263,6.933423025730715,5.950642552587727,4.1484,230000.0,True,False,False,False,False,0.8055291502336105,1.2581184715731728
237,-122.2,37.79,44.0,7.3914152346753585,6.115892125483034,7.2115567333138015,6.198478716492308,2.619,134700.0,False,False,False,True,False,0.8274318153297002,1.1924563385220637
1660,-121.94,37.94,26.0,7.170119543449628,5.1647859739235145,6.280395838960195,5.198497031265826,6.2296,291700.0,False,True,False,False,False,0.7203207621052683,1.3792677961198556
17678,-121.85,37.33,19.0,6.601230118728877,5.0689042022202315,6.393590753950631,4.90527477843843,4.5208,188100.0,True,False,False,False,False,0.7678726708585478,1.3457411494551068
14390,-117.23,32.74,35.0,7.86940171257709,6.26530121273771,7.180069874302796,6.306275286948016,4.1339,238200.0,False,False,False,False,True,0.7961597897238283,1.2478684095609096
3911,-118.55,34.2,21.0,7.843848638152472,6.480044561926653,7.393263094763838,6.444131256700441,3.6905,179800.0,True,False,False,False,False,0.8261307504593757,1.2172080806077066
3904,-118.51,34.19,38.0,7.688455356549944,6.016157159698354,7.040536390215956,5.940171252720432,4.2865,221100.0,True,False,False,False,False,0.7824923057624408,1.2943154379646626
10488,-117.68,33.49,16.0,8.034306936339489,6.586171654854675,7.846980982138788,6.53813982376767,2.8357,106300.0,True,False,False,False,False,0.8197560420632126,1.2288368179482643
16748,-122.46,37.7,37.0,8.016317898503415,6.6052979209482015,7.798523053625206,6.55250788703459,3.3214,243200.0,False,False,False,False,True,0.8239815342379773,1.223396909504719
20282,-119.18,34.19,36.0,8.416267272826277,6.9865664594064265,8.480321716640333,6.967909201801884,2.8561,179100.0,False,False,False,False,True,0.8301264958592812,1.2078612147600676
17917,-121.99,37.36,33.0,7.842278779117352,6.148468295917647,7.160845906664299,6.129050210060545,5.5,282200.0,True,False,False,False,False,0.7840155226679734,1.2795259477960588
13436,-117.44,34.09,24.0,8.154212694914229,6.723832440821209,7.8407064517494,6.625392368007956,2.3682,97400.0,False,True,False,False,False,0.8245838920800844,1.230751666012792
5765,-118.3,34.17,17.0,8.304494897963567,7.064759027791802,8.104703468371108,7.0192966537150445,2.6016,222400.0,True,False,False,False,False,0.8507150783516318,1.1830950175853183
80,-122.28,37.81,17.0,6.829793737512425,5.66988092298052,6.413458957167357,5.66988092298052,1.5,162500.0,False,False,False,True,False,0.8301686904304121,1.2045744576099786
1410,-122.07,37.94,30.0,7.13966033596492,5.6240175061873385,6.56244409369372,5.402677381872279,2.892,220800.0,False,False,False,True,False,0.787714995047766,1.3215041045983567
9555,-120.65,37.33,25.0,7.4570320891223805,5.7430031878094825,6.698268054115413,5.58724865840025,4.1058,107600.0,False,True,False,False,False,0.7701459668098837,1.3346519092023892
17378,-120.42,34.97,18.0,7.566828479208331,5.860786223465865,6.977281341630747,5.849324779946859,4.125,139800.0,True,False,False,False,False,0.7745366819889965,1.2936242667101612
6006,-117.75,34.07,52.0,7.3453648404168685,5.855071922202427,7.0317412587631285,5.840641657373398,2.63,127300.0,False,True,False,False,False,0.7971111101229026,1.2576297727740005
11635,-118.03,33.83,34.0,8.07215530818825,6.483107351457199,7.636752112435779,6.539585955617669,4.225,198400.0,True,False,False,False,False,0.8031445263300188,1.2343526582526323
11527,-118.08,33.77,26.0,7.808729306744399,6.333279628139691,6.879355804460439,6.300785794663244,2.1944,87500.0,True,False,False,False,False,0.8110512452608182,1.2393262620288379
10554,-117.71,33.63,16.0,7.356279876550748,5.616771097666572,6.85751406254539,5.638354669333745,5.8399,220600.0,True,False,False,False,False,0.7635341765028376,1.3046855524290744
10475,-117.68,33.6,24.0,7.579167967396076,5.572154032177765,6.877296071497429,5.54907608489522,6.8154,265900.0,True,False,False,False,False,0.7351933690014463,1.365843223528118
9233,-120.06,37.02,13.0,8.74862232231722,6.985641817639208,8.253488028345904,6.9411900550683745,3.5258,84900.0,False,True,False,False,False,0.7984847854066404,1.260392274654557
3547,-118.6,34.26,18.0,8.725020038618554,6.976348070447749,8.010027528481734,6.942156705699469,5.6392,271500.0,True,False,False,False,False,0.7995796043526708,1.256816924264381
4740,-118.38,34.05,35.0,8.165647925297504,6.779921907472252,7.398174092970465,6.665683717782408,3.0956,500001.0,True,False,False,False,False,0.8302980938558203,1.225027809752443
16199,-121.27,37.95,43.0,6.324358962381311,5.111987788356544,6.352629396319567,4.976733742420574,1.7212,59000.0,False,True,False,False,False,0.8083013343745635,1.2707850750531173
10652,-117.77,33.55,28.0,7.613324979540639,5.697093486505405,6.42648845745769,5.616771097666572,6.7861,499100.0,True,False,False,False,False,0.7483055697497819,1.3554629247226249
2036,-119.69,36.75,6.0,7.563719668414366,5.717027701406222,6.873163834212518,5.75890177387728,4.7463,93100.0,False,True,False,False,False,0.7558487030237493,1.313396193476306
5345,-118.42,34.04,46.0,7.319202458767849,5.6240175061873385,6.461468176353717,5.6131281063880705,4.925,409800.0,True,False,False,False,False,0.7683921216648669,1.3039435979446408
19951,-119.35,36.22,29.0,7.62657020629066,5.863631175598097,6.82001636467413,5.840641657373398,3.1944,106800.0,False,True,False,False,False,0.7688424831861601,1.3057760865473835
11496,-118.03,33.71,26.0,7.302496423727326,5.529429087511423,6.6052979209482015,5.4638318050256105,6.0,271400.0,True,False,False,False,False,0.7571970962621989,1.3365155964373792
10159,-117.95,33.9,15.0,8.025516386489008,6.173786103901937,7.426549072397305,6.212606095751519,6.8429,372600.0,True,False,False,False,False,0.7692696403057045,1.29181156229706
17862,-121.9,37.45,16.0,7.990576881743923,6.102558594613569,7.330405211844402,6.133398042996649,5.6063,320500.0,True,False,False,False,False,0.7637194016061706,1.30279770295813
8436,-118.37,33.92,39.0,6.97914527506881,5.332718793265369,6.322565239927284,5.3230099791384085,4.8611,245600.0,True,False,False,False,False,0.7640933929710743,1.3111275955560893
14822,-117.12,32.66,52.0,2.833213344056216,1.6094379124341003,2.1972245773362196,1.3862943611198906,1.125,60000.0,False,False,False,False,True,0.5680609671737329,2.04373142062517
10870,-117.9,33.72,36.0,6.095824562432225,4.770684624465665,6.359573868672378,4.7535901911063645,3.6875,137500.0,True,False,False,False,False,0.7826151451055161,1.282362239352708
19870,-119.36,36.33,11.0,8.07775756373692,6.42648845745769,7.20934025660291,6.338594078203183,2.9844,132000.0,False,True,False,False,False,0.7955782785940257,1.274376851408466
12739,-121.35,38.62,28.0,8.337109129562474,6.680854678790215,7.617267813628347,6.7226297948554485,3.4299,164000.0,False,True,False,False,False,0.8013394781052628,1.2401559187362243
16983,-122.29,37.56,36.0,6.692083742506628,4.948759890378168,6.100318952020064,4.941642422609304,5.8221,289400.0,False,False,False,True,False,0.7394946149500111,1.3542225782846202
11932,-117.4,33.94,30.0,7.089243155027514,5.529429087511423,6.927557906278317,5.3706380281276624,3.0509,82700.0,False,True,False,False,False,0.7799745285348395,1.3200001783585107
99,-122.26,37.82,37.0,8.198089248956116,6.990256500493881,7.516977224604321,6.8885724595653635,2.6104,193100.0,False,False,False,True,False,0.852668992519686,1.1900998787596955
13185,-117.76,33.94,40.0,6.996681488176539,5.365976015021851,6.126869184114185,5.25227342804663,5.1165,184200.0,True,False,False,False,False,0.7669315837929219,1.3321243808090681
19806,-123.41,40.07,17.0,6.1092475827643655,5.0238805208462765,4.955827057601261,3.9889840465642745,0.8362,87500.0,False,True,False,False,False,0.8223403050516128,1.5315297106856773
1348,-121.93,38.01,9.0,7.738488122494646,5.966146739123692,7.04141166379481,5.902633333401366,5.3363,160800.0,False,True,False,False,False,0.7709705881412393,1.3110230104764744
15958,-122.46,37.71,47.0,7.331714969726466,5.648974238161206,7.005789019253503,5.645446897643238,4.0,231600.0,False,False,False,False,True,0.7704847039862435,1.2986952322210634
7798,-118.08,33.9,44.0,7.0630481633881725,5.472270673671475,6.598509028614515,5.472270673671475,4.2083,168300.0,True,False,False,False,False,0.7747746507007259,1.2906978811136562
18190,-122.01,37.37,11.0,7.847762537473608,6.543911845564792,7.177782416195197,6.505784060128229,4.1847,167300.0,True,False,False,False,False,0.8338570152087503,1.2062746726516664
3389,-118.35,34.22,30.0,7.13966033596492,5.407171771460119,6.459904454377535,5.438079308923196,4.1302,258300.0,True,False,False,False,False,0.7573429991091226,1.312901105404926
8173,-118.11,33.8,36.0,7.516433302915632,5.768320995793772,6.698268054115413,5.723585101952381,4.3897,235000.0,True,False,False,False,False,0.767427949311575,1.3132386727947298
15585,-116.58,33.09,36.0,6.900730664045173,5.41610040220442,5.814130531825066,4.844187086458591,3.0089,134400.0,False,True,False,False,False,0.7848589759377059,1.4245384294375067
3590,-118.46,34.24,11.0,8.587465244401569,7.057036981697891,7.931644021454311,6.942156705699469,3.8583,170700.0,True,False,False,False,False,0.8217834693769025,1.2370025063466676
18792,-122.57,40.61,27.0,7.340186835320115,5.755742213586912,6.784457062637643,5.7745515455444085,2.8036,93400.0,False,True,False,False,False,0.7841411046774666,1.2711267320808206
792,-122.09,37.64,36.0,7.542213463193403,5.730099782973574,6.74993119378857,5.605802066295998,4.1141,173100.0,False,False,False,True,False,0.7597371528844832,1.3454298553528627
2580,-124.02,40.8,22.0,7.859026979751538,6.077642243349034,7.089243155027514,6.093569770045136,3.9792,133900.0,True,False,False,False,False,0.7733326605199131,1.2897246238789395
3183,-119.77,36.3,24.0,7.697575346802343,6.156978985585555,6.959398512133975,6.0867747269123065,2.1038,62000.0,False,True,False,False,False,0.7998595282530403,1.2646394342093816
15045,-116.92,32.77,16.0,7.9269635448629785,6.008813185442595,7.146772179452637,6.063785208687608,6.6783,275000.0,True,False,False,False,False,0.7580220536445598,1.3072632476338357
3047,-119.28,35.5,28.0,8.041734711487537,6.663132695990803,8.089789175789319,6.6052979209482015,1.6944,58600.0,False,True,False,False,False,0.828569075584225,1.2174673735735349
14283,-117.12,32.71,24.0,6.045005314036012,4.624972813284271,5.983936280687191,4.736198448394496,0.6433,111300.0,False,False,False,False,True,0.7650899499700122,1.276341221741919
20348,-119.05,34.19,39.0,4.969813299576001,3.6109179126442243,4.736198448394496,3.5263605246161616,2.8942,275000.0,False,False,False,False,True,0.7265701335203658,1.409332161270424
15068,-116.97,32.78,37.0,7.135687347028144,5.476463551931511,6.51025834052315,5.631211781821365,3.7019,138600.0,True,False,False,False,False,0.767475267005965,1.267167285390245
6798,-118.14,34.07,52.0,6.54534966033442,4.983606621708336,6.261491684321042,5.14166355650266,3.665,220400.0,True,False,False,False,False,0.7613965456894644,1.2730023247158049
7799,-118.08,33.9,42.0,7.478169694159785,5.921578419643816,7.052721049232323,5.910796644040527,3.558,161100.0,True,False,False,False,False,0.7918486289858309,1.2651712018716696
13681,-117.23,34.15,17.0,8.52456594574565,6.706862336602747,7.642524134232902,6.726233402358747,4.6445,137200.0,False,True,False,False,False,0.7867687785264816,1.267361008132169
11601,-118.08,33.78,30.0,7.965545573129992,6.0014148779611505,7.01211529430638,6.028278520230698,6.9324,364700.0,True,False,False,False,False,0.7534216988482996,1.3213632293859503
1128,-121.61,39.76,31.0,7.796469243086058,6.240275845170769,6.934397209928558,6.059123195581797,2.5428,85000.0,False,True,False,False,False,0.8003976736911612,1.286732253401136
11164,-118.0,33.82,18.0,7.988882253309227,6.327936783729195,7.507141079727608,6.313548046277095,4.5294,224800.0,True,False,False,False,False,0.7920928839710937,1.2653554221417584
19209,-122.71,38.46,42.0,7.362010551259734,5.932245187448011,6.739336627357174,5.91350300563827,2.314,169400.0,True,False,False,False,False,0.805791454133807,1.244949151837815
8860,-118.37,34.06,36.0,7.415776975415394,5.981414211254481,6.53813982376767,5.902633333401366,3.3438,500001.0,True,False,False,False,False,0.8065795709719861,1.2563506076942925
14085,-117.1,32.76,52.0,7.865955413933502,6.056784013228625,6.784457062637643,5.942799375126701,4.2813,270800.0,False,False,False,False,True,0.7699997895360341,1.3236111329714542
1926,-120.3,38.9,11.0,7.581719640125308,6.077642243349034,4.736198448394496,3.9889840465642745,0.9227,95500.0,False,True,False,False,False,0.8016179088427207,1.9006643174357813
11033,-117.81,33.79,23.0,8.043984431221553,6.415096959171596,7.6236419465115715,6.359573868672378,3.75,211900.0,True,False,False,False,False,0.797502408666075,1.2648621743111872
5996,-117.73,34.09,36.0,7.342131730584722,5.697093486505405,7.212294468500341,5.717027701406222,3.5313,117800.0,False,True,False,False,False,0.7759454196079498,1.2842568051189907
14349,-117.21,32.75,15.0,7.448333860897476,6.555356891810665,6.818924065275521,6.511745329644728,1.0612,300000.0,False,False,False,False,True,0.8801105071598908,1.1438306450636095
7142,-118.13,34.02,38.0,7.126087273299125,5.739792912179234,6.670766320845874,5.659482215759621,2.5852,185100.0,True,False,False,False,False,0.8054620568128286,1.2591412079104227
3201,-119.66,36.35,15.0,7.45298232946546,5.926926025970411,6.854354502255021,5.971261839790462,3.1094,91900.0,False,True,False,False,False,0.7952421948644952,1.2481419387442223
11818,-121.09,38.97,13.0,7.291656209174461,5.402677381872279,6.535241271013659,5.44673737166631,5.2536,191900.0,False,True,False,False,False,0.7409396750047756,1.3387199917340127
6293,-117.89,34.01,23.0,8.419800845407588,6.862757913051401,8.264105763728956,6.836259277277067,3.6275,154100.0,True,False,False,False,False,0.8150736625551607,1.231638605837264
3562,-118.58,34.25,23.0,8.493719835230594,6.646390514847729,7.659171367666058,6.587550014824796,5.521,280800.0,True,False,False,False,False,0.7825064452066763,1.2893594456385309
15943,-122.43,37.72,50.0,7.976938756959434,6.333279628139691,7.595889917718538,6.2878585601617845,3.6667,252600.0,False,False,False,True,False,0.7939486338182372,1.268625666534425
4764,-118.36,34.04,45.0,7.477604243197589,6.035481432524756,6.959398512133975,5.940171252720432,3.5161,157000.0,True,False,False,False,False,0.8071410623282533,1.2588196408938641
12307,-116.74,33.62,11.0,7.777373602657861,6.495265555937008,6.52649485957079,5.493061443340548,2.9141,214300.0,False,True,False,False,False,0.8351489703050009,1.4158541066542545
7841,-118.18,33.9,25.0,7.444248649496705,6.093569770045136,7.071573364211532,6.018593214496234,2.4333,155000.0,True,False,False,False,False,0.818560751655859,1.2368751939517482
20104,-120.33,37.97,17.0,7.836369760545124,6.267200548541362,6.932447891572509,6.208590026096629,2.0057,118900.0,False,True,False,False,False,0.7997581456780818,1.262181868605663
17285,-119.73,34.41,29.0,7.478734825567875,5.697093486505405,6.556778356158042,5.598421958998375,4.4375,350000.0,False,False,False,False,True,0.7617723611523842,1.3358647991059807
15994,-122.47,37.76,48.0,7.80994708647679,6.131226489483141,7.07326971745971,6.129050210060545,4.4946,358600.0,False,False,False,True,False,0.785053524895141,1.2742507923425284
5343,-118.44,34.04,31.0,7.890208213109961,6.4967749901858625,7.336936913707618,6.448889394146858,3.0714,347800.0,True,False,False,False,False,0.823397154385756,1.2234987655814462
12589,-121.5,38.52,37.0,7.605392364814935,6.1463292576688975,7.140453043101158,6.059123195581797,2.2574,59100.0,False,True,False,False,False,0.8081541310220697,1.2551968526338348
18401,-121.83,37.23,22.0,8.613956859848546,6.7357800142423265,7.932362154339751,6.744059186311348,6.0889,245200.0,True,False,False,False,False,0.7819611966759673,1.2772659049808748
15317,-117.36,33.2,19.0,7.6638772587034705,6.333279628139691,7.188412736496954,6.26530121273771,2.9539,169900.0,False,False,False,False,True,0.8263806183674604,1.2232256676059527
6232,-117.94,34.07,25.0,7.503840746698951,6.003887067106539,7.080026499922591,5.8971538676367405,3.3523,170800.0,True,False,False,False,False,0.8001085403828347,1.2724512392121259
17998,-121.97,37.28,25.0,8.457018468380168,6.54534966033442,7.59890045687141,6.466144724237619,6.6437,296100.0,True,False,False,False,False,0.7739547554267191,1.3078919246394196
7755,-118.12,33.91,35.0,6.431331081933479,4.812184355372417,5.945420608606575,4.8283137373023015,3.7917,183900.0,True,False,False,False,False,0.7482408064623707,1.3320035589747783
11984,-117.49,34.02,35.0,7.62657020629066,6.059123195581797,7.2909747781429814,6.054439346269371,3.6711,108200.0,False,True,False,False,False,0.7944755023147917,1.2596658039013977
33,-122.27,37.83,49.0,7.412160334945205,5.905361848054571,6.626717749249025,5.799092654460526,1.375,104900.0,False,False,False,True,False,0.7967126426304196,1.2781586321515221
18706,-122.37,40.54,28.0,7.7025561132685825,5.968707559985366,7.00033446027523,5.937536205082426,3.6923,86900.0,False,True,False,False,False,0.7748995881644467,1.2972646982220217
873,-122.02,37.56,35.0,7.448333860897476,5.746203190540153,6.818924065275521,5.75890177387728,5.5737,214500.0,False,False,False,True,False,0.7714749765322378,1.2933601150628335
6275,-117.93,34.01,23.0,8.067462667010057,6.729824070489475,8.264620829411216,6.734591659972948,2.1863,157600.0,True,False,False,False,False,0.8341933949083481,1.1979141534235889
1818,-122.32,37.93,40.0,8.025189321890835,6.194405391104672,7.00669522683704,6.1779441140506,5.1067,247300.0,False,False,False,True,False,0.7718703126676135,1.2990064613305605
14636,-117.19,32.8,16.0,7.860956364876389,6.678342114654332,7.119635638017636,6.529418838262226,3.1304,166300.0,False,False,False,False,True,0.8495584766878866,1.2039289498188397
16165,-122.5,37.77,52.0,7.9157131993821155,6.345636360828596,7.180069874302796,6.2766434893416445,3.5833,322900.0,False,False,False,True,False,0.8016506158060305,1.2611379334868664
